"a1","d","g","u","definition"
0.762749420267584,0.670063065982885,0,1,"¡am!"
1.06081004608865,0.856557681692421,0,1,"¡ay!"
1.26609625855944,-1.14762708269369,0,1,"¡pum!"
1.76759043626051,-1.74282841439659,0,1,"¡salud!"
0.836090518695357,0.16619822290775,0,1,"(nombre del niño/a)"
2.18494049927306,-1.06866785234925,0,1,"abajo"
2.50970316536361,-3.97322690573619,0,1,"abeja"
2.39883926497834,-0.238906012438688,0,1,"abrir"
1.26985101629143,0.350232143691517,0,1,"abuela"
1.1514558974774,-0.379911229134775,0,1,"abuelo"
2.18196861365648,-1.41465556758615,0,1,"acabar(se)"
0.518350425061195,-1.37699399791742,0,1,"acerrín"
2.27896049597207,-1.6158769472201,0,1,"adentro"
0.925562653994122,1.61934162789739,0,1,"adíos/byebye"
2.33668744115786,-1.50952588575278,0,1,"afuera"
1.98414296350379,2.7472711302346,0,1,"agua"
1.72756118578856,-0.883688966468894,0,1,"ahí"
1.79161468349311,-1.9622663999186,0,1,"ahorita/ahora"
1.41911886761822,-2.82064061614409,0,1,"alberca/piscina"
1.70102535773547,-1.22296364019353,0,1,"alla/allí"
2.00006928884171,-0.884380737049657,0,1,"almohada"
2.59616673612987,-5.61087645963028,0,1,"amarillo"
2.01841855962535,-2.1392779178458,0,1,"animal"
2.14092520293193,-1.33057417494603,0,1,"apagar"
2.59209710894153,-3.1238194559288,0,1,"apurar(se)"
2.05467947124504,-2.51828863309563,0,1,"aquel"
2.11519664766188,-3.38299365732464,0,1,"aquella"
2.16858282372695,-1.27927575470588,0,1,"aquí"
1.88553115182523,-2.32558545084433,0,1,"araña"
2.44110833142724,-1.36537547333575,0,1,"árbol"
3.13267603051373,-5.4339731777002,0,1,"ardilla"
2.02211772948142,-2.12031807698189,0,1,"aretes"
2.06453257724117,-0.838480683995559,0,1,"arriba"
2.10230432315774,-2.01395585846197,0,1,"arroz"
1.63752913566893,-3.95511273173733,0,1,"aspiradora"
1.80303003995316,-2.19027389379425,0,1,"atole"
2.23927172238538,-2.82593300454897,0,1,"atrás"
2.25072150661556,-0.65938933503269,0,1,"aventar"
1.89357979190685,-1.44498843993947,0,1,"avión"
2.13246073401682,-5.36379260692995,0,1,"ayer"
2.76207209189295,-2.90936099498968,0,1,"ayudar"
2.61610925523395,-5.81374646214579,0,1,"azul"
1.4039225193537,-0.650957534327855,0,1,"babero"
2.70962786362267,-3.93964555130119,0,1,"bacinica"
1.77581510089375,0.896811392917395,0,1,"bailar"
2.2404365816018,-0.293759627128486,0,1,"baño"
3.13574440023989,-4.70868494926941,0,1,"barco"
2.69614784155469,-1.22707284951141,0,1,"basura"
1.60407391957282,0.499265725740455,0,1,"bebé"
0.989374773469349,-0.983374971911014,0,1,"bee/mee"
1.41765410142112,1.08206582586424,0,1,"besitos"
1.99383808849631,-1.90628085844125,0,1,"bicicleta"
1.94483608756771,-3.00250049279744,0,1,"bigote"
2.76830809684455,0.697726606117896,0,1,"boca"
2.85338064477558,-1.57805318998628,0,1,"bolsa"
1.75141168876067,-1.5678591240456,0,1,"bonita"
2.33733293270735,-3.22734802627671,0,1,"borrego"
2.71039657842367,-4.33751267012206,0,1,"botas"
1.74854879494278,0.734574859523798,0,1,"botella/mamila"
2.14539096234164,-2.29030283667369,0,1,"botón"
2.37208769959402,-1.39153894161813,0,1,"brazos"
1.80927784332133,-0.775856409725279,0,1,"brincar"
1.59761641400237,-1.70103646935332,0,1,"buenas día"
1.69958664669572,-1.81719770548191,0,1,"buenas noches"
2.67242951585133,-4.96352168555628,0,1,"búho"
2.33879511288081,-2.85019599983739,0,1,"burro"
1.8829789894976,-1.28150649776519,0,1,"caballo"
2.19051288888658,0.110194215359408,0,1,"cabeza"
2.43173588220004,-4.35380090554651,0,1,"cabra"
2.66116585142526,-2.51775843766204,0,1,"cachete"
2.17050482650898,-1.00916480814152,0,1,"caer(se)"
1.95505848844391,-3.32867355123915,0,1,"café"
2.69622291214284,-2.5299475003549,0,1,"caja"
2.65277066789234,-2.77413354862582,0,1,"cajón"
2.15919391355034,-0.0797314167704005,0,1,"calcetines"
2.27142514176226,-0.592647897196744,0,1,"caliente"
1.63322982537722,0.52525879855614,0,1,"calle"
2.25852070309345,-2.04880975822094,0,1,"calzón"
2.89949408125093,0.88420292697032,0,1,"cama"
2.00163404668119,0.528088443017323,0,1,"caminar"
2.64507329272107,-4.26986378965101,0,1,"camión de bomberos"
1.93231181995753,-2.34702339902095,0,1,"camión/troca"
2.48299192417473,-4.17528611323243,0,1,"campo"
2.38636707170101,-3.46942171845573,0,1,"cansado"
1.74542757163977,-0.38202498990486,0,1,"cantar"
2.31844199643788,-1.27205668861729,0,1,"cara"
2.29957586118946,-1.83564148521189,0,1,"carne"
1.33902956094752,-0.818576770024967,0,1,"carreola"
1.69846969584123,0.649515370822896,0,1,"carro/coche"
2.74075990900689,-1.13239446540086,0,1,"casa"
2.58774582082177,-2.85612606058163,0,1,"cenar"
2.25403045397467,-0.569765866429121,0,1,"cepillo"
1.75893465349258,-1.72840947474492,0,1,"cepillo de dientes"
1.72530151360079,-1.84227966693755,0,1,"cereal"
2.3798021605759,-1.21356664780945,0,1,"cerrar"
0.943288251649199,-0.821715704394197,0,1,"chichi/pecho"
3.46123095927216,-5.57253529972719,0,1,"chico"
1.96441242790892,-1.88844409174153,0,1,"chile"
1.19554755683064,-0.911102599427746,0,1,"chupón/chupete"
2.69911574342102,-2.27245319914236,0,1,"cielo"
2.33991980505819,-4.48750756075781,0,1,"cierre"
